date,draw_time,d1,d2,d3,combo
2002-11-27,9PM,1,5,4,154
2002-11-28,9PM,3,9,2,392
2002-11-29,9PM,9,0,3,903
2002-11-30,9PM,9,8,2,982
2002-12-01,9PM,2,5,2,252
2002-12-02,9PM,2,9,6,296
2002-12-03,9PM,5,1,7,517
2002-12-04,9PM,8,9,9,899
2002-12-05,9PM,2,7,9,279
2002-12-06,9PM,3,2,3,323
2002-12-07,9PM,7,6,5,765
2002-12-08,9PM,1,3,4,134
2002-12-09,9PM,8,7,4,874
2002-12-10,9PM,7,7,9,779
2002-12-11,9PM,2,4,0,240
2002-12-12,9PM,5,8,1,581
2002-12-13,9PM,6,2,1,621
2002-12-14,9PM,4,9,8,498
2002-12-15,9PM,6,6,6,666
2002-12-16,9PM,6,6,6,666
2002-12-17,9PM,4,2,6,426
2002-12-18,9PM,5,1,3,513
2002-12-19,9PM,4,5,3,453
2002-12-20,9PM,6,1,8,618
2002-12-21,9PM,0,0,5,005
2002-12-22,9PM,2,6,0,260
2002-12-23,9PM,2,6,5,265
2002-12-24,9PM,1,3,1,131
2002-12-26,9PM,2,0,3,203
2002-12-27,9PM,7,9,6,796
2002-12-28,9PM,5,6,1,561
2002-12-29,9PM,0,9,2,092
2002-12-30,9PM,7,0,7,707
2002-12-31,9PM,6,0,0,600
2003-01-02,9PM,5,7,3,573
2003-01-03,9PM,6,7,3,673
2003-01-04,9PM,2,7,7,277
2003-01-05,9PM,9,7,9,979
2003-01-06,9PM,3,6,2,362
2003-01-07,9PM,3,2,4,324
2003-01-08,9PM,1,5,3,153
2003-01-09,9PM,9,3,9,939
2003-01-10,9PM,8,1,0,810
2003-01-11,9PM,4,0,1,401
2003-01-12,9PM,7,2,0,720
2003-01-13,9PM,9,1,3,913
2003-01-14,9PM,9,9,5,995
2003-01-15,9PM,5,7,8,578
2003-01-16,9PM,8,1,1,811
2003-01-17,9PM,0,1,9,019
2003-01-18,9PM,7,1,3,713
2003-01-19,9PM,7,3,5,735
2003-01-20,9PM,6,8,5,685
2003-01-21,9PM,3,9,2,392
2003-01-22,9PM,2,1,8,218
2003-01-23,9PM,8,4,1,841
2003-01-24,9PM,5,5,2,552
2003-01-25,9PM,7,5,5,755
2003-01-26,9PM,3,4,1,341
2003-01-27,9PM,2,8,0,280
2003-01-28,9PM,8,4,7,847
2003-01-29,9PM,6,6,9,669
2003-01-30,9PM,7,3,8,738
2003-01-31,9PM,8,7,5,875
2003-02-01,9PM,8,0,0,800
2003-02-02,9PM,7,8,4,784
2003-02-03,9PM,8,9,0,890
2003-02-04,9PM,9,0,3,903
2003-02-05,9PM,0,3,6,036
2003-02-06,9PM,1,2,0,120
2003-02-07,9PM,7,5,8,758
2003-02-08,9PM,2,9,8,298
2003-02-09,9PM,2,6,2,262
2003-02-10,9PM,5,8,5,585
2003-02-11,9PM,9,8,6,986
